股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,10740,0,持平,2026-07-31
台光電,2383,4715,0,持平,2026-07-31
聯發科,2454,5200,0,持平,2026-07-31
欣興,3037,17833,0,持平,2026-07-31
緯穎,6669,2564,115,加碼,2026-07-31
智邦,2345,6419,0,持平,2026-07-31
奇鋐,3017,5666,170,加碼,2026-07-31
旺矽,6223,2443,0,持平,2026-07-31
國巨*,2327,25437,0,持平,2026-07-31
貿聯-KY,3665,5131,232,加碼,2026-07-31
聯電,2303,87718,0,持平,2026-07-31
台達電,2308,5932,290,加碼,2026-07-31
日月光投控,3711,16327,0,持平,2026-07-31
南電,8046,9519,0,持平,2026-07-31
健策,3653,2375,78,加碼,2026-07-31
信驊,5274,455,0,持平,2026-07-31
金像電,2368,7579,0,持平,2026-07-31
台燿,6274,5229,0,持平,2026-07-31
富世達,6805,1957,0,持平,2026-07-31
勤誠,8210,2297,0,持平,2026-07-31
京元電子,2449,7543,0,持平,2026-07-31
萬潤,6187,1334,0,持平,2026-07-31
致茂,2360,348,348,新增,2026-07-31
亞德客-KY,1590,528,0,持平,2026-07-31
臻鼎-KY,4958,1682,0,持平,2026-07-31
華星光,4979,1874,0,持平,2026-07-31
精測,6510,261,-28,減碼,2026-07-31
穎崴,6515,93,0,持平,2026-07-31
台表科,6278,3250,-360,減碼,2026-07-31
同欣電,6271,2224,-246,減碼,2026-07-31
南亞科,2408,940,0,持平,2026-07-31
精成科,6191,3988,0,持平,2026-07-31
新日興,3376,1741,0,持平,2026-07-31
欣銓,3264,1508,0,持平,2026-07-31
頎邦,6147,1880,-942,減碼,2026-07-31
中鋼,2002,5163,0,持平,2026-07-31
譜瑞-KY,4966,140,0,持平,2026-07-31
大立光,3008,1,0,持平,2026-07-31
創意,3443,1,0,持平,2026-07-31
世芯-KY,3661,1,0,持平,2026-07-31
嘉澤,3533,1,0,持平,2026-07-31
環球晶,6488,1,0,持平,2026-07-31
高力,8996,1,0,持平,2026-07-31
強茂,2481,5,0,持平,2026-07-31
金居,8358,1,0,持平,2026-07-31
廣達,2382,1,0,持平,2026-07-31
鴻海,2317,1,0,持平,2026-07-31
華通,2313,1,0,持平,2026-07-31
世界,5347,1,0,持平,2026-07-31
美律,2439,1,0,持平,2026-07-31
南茂,8150,1,0,持平,2026-07-31
高技,5439,0,-526,清空,2026-07-31
